Nationality,Position,Date of Birth,Height,Name,Apps,Goals,Goals per Game,Shots,Shots on Target,Shot Acc.,Assists,Passes,Passes per Game,Chances Created,Crosses,Cross Acc.,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Successful Tackles,Blocked Shots,Interceptions,Clearances,Duels Won,Duels Lost,Aerials Won,Aerials Lost,50/50 Tackle Wins
England,Midfielder,16/11/1995,178cm,Rolando Aarons,18,2,0.11,11,3,27%,1,197,10.94,1,19,21%,2,0,11,1,20,70%,2,8,11,54,67,7,12,14
England,Forward,02/10/1997 (23),190cm,Tammy Abraham,81,26,0.32,159,66,42%,5,887,10.95,7,31,,,,,,,,,,,,,,,
England,Forward,13/07/1996 (24),175cm,Che Adams,45,8,0.18,62,23,37%,6,548,12.18,12,15,,,,,,,,,,,,,,,
England,Defender,24/09/1997 (23),196cm,Tosin Adarabioyo,11,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,02/01/1999,180cm,Dennis Adeniran,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Spain,Goalkeeper,03/01/1987 (33),190cm,Adrián,138,0,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Midfielder,15/03/1989,175cm,Adrien Silva,14,0,14,11,2,18%,1,512,36.57,1,4,4%,3,0,9,0,24,63%,5,15,1,52,75,11,21,7
Argentina,Forward,02/06/1988 (32),173cm,Sergio Agüero,267,180,0.67,"1,000",412,41%,46,"6,174",23.12,61,176,,,,,,,,,,,,,,,
Egypt,Defender,09/09/1987 (33),183cm,Ahmed El Mohamady,188,6,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Defender,25/01/1991,193cm,Ahmed Hegazi,39,2,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Defender,08/10/1996 (24),184cm,Ola Aina,15,1,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,06/06/2001 (19),179cm,Rayan Aït-Nouri,6,1,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Defender,09/11/1993 (27),193cm,Semi Ajayi,14,1,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Forward,26/02/1997,183cm,Albian Ajeti,9,0,9,3,0,3%,0,15,1.67,0,0,,,,,,,,,,,,,,,
Netherlands,Defender,18/02/1995 (25),180cm,Nathan Aké,152,13,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,18/11/1989 (31),175cm,Marc Albrighton,266,17,0.06,227,72,32%,37,"5,855",22.01,61,"1,628",20%,33,1,169,18,436,74%,79,268,180,"1,003","1,167",72,199,299
Belgium,Defender,02/03/1989 (31),187cm,Toby Alderweireld,185,8,,,,,,,,,,,,,,,,,,,,,,,,
